odtaz_timeslot,o2d_taz,timeslot,ODcount
"姑胥桥-惠济桥,19-24",姑胥桥-惠济桥,19-24,6
"姑胥桥-1009,9-17",姑胥桥-1009,9-17,53
"姑胥桥-姑胥桥,17-19",姑胥桥-姑胥桥,17-19,26
"姑胥桥-姑胥桥,9-17",姑胥桥-姑胥桥,9-17,26
"姑胥桥-姑胥桥,17-19",姑胥桥-姑胥桥,17-19,26
"姑胥桥-姑胥桥,19-24",姑胥桥-姑胥桥,19-24,26
"姑胥桥-姑胥桥,7-9",姑胥桥-姑胥桥,7-9,53
"姑胥桥-117,19-24",姑胥桥-117,19-24,26
"姑胥桥-132,19-24",姑胥桥-132,19-24,26
"姑胥桥-164,19-24",姑胥桥-164,19-24,26
"姑胥桥-164,9-17",姑胥桥-164,9-17,106
"姑胥桥-165,19-24",姑胥桥-165,19-24,26
"姑胥桥-200,9-17",姑胥桥-200,9-17,26
"姑胥桥-人民桥,9-17",姑胥桥-人民桥,9-17,26
"姑胥桥-33,19-24",姑胥桥-33,19-24,26
"姑胥桥-齐门桥,19-24",姑胥桥-齐门桥,19-24,6
"姑胥桥-47,19-24",姑胥桥-47,19-24,6
"姑胥桥-63,7-9",姑胥桥-63,7-9,6
"姑胥桥-惠济桥,9-17",姑胥桥-惠济桥,9-17,6
"姑胥桥-齐门桥,9-17",姑胥桥-齐门桥,9-17,6
"姑胥桥-85,0-7",姑胥桥-85,0-7,6
"姑胥桥-85,9-17",姑胥桥-85,9-17,6
"116-惠济桥,9-17",116-惠济桥,9-17,6
"116-阊门桥,17-19",116-阊门桥,17-19,6
"116-阊门桥,7-9",116-阊门桥,7-9,6
"116-1004,19-24",116-1004,19-24,26
"116-1005,19-24",116-1005,19-24,26
"116-1005,9-17",116-1005,9-17,26
"116-1009,17-19",116-1009,17-19,26
"116-104,17-19",116-104,17-19,6
"116-姑胥桥,19-24",116-姑胥桥,19-24,53
"116-姑胥桥,9-17",116-姑胥桥,9-17,53
"116-116,0-7",116-116,0-7,53
"116-117,17-19",116-117,17-19,26
"116-117,9-17",116-117,9-17,26
"116-126,0-7",116-126,0-7,26
"116-新市桥,19-24",116-新市桥,19-24,53
"116-新市桥,9-17",116-新市桥,9-17,26
"116-相门桥,0-7",116-相门桥,0-7,79
"116-相门桥,9-17",116-相门桥,9-17,26
"116-138,9-17",116-138,9-17,26
"116-139,9-17",116-139,9-17,26
"116-新市桥,0-7",116-新市桥,0-7,132
"116-新市桥,19-24",116-新市桥,19-24,53
"116-新市桥,7-9",116-新市桥,7-9,26
"116-新市桥,9-17",116-新市桥,9-17,53
"116-144,0-7",116-144,0-7,26
"116-144,17-19",116-144,17-19,26
"116-144,7-9",116-144,7-9,53
"116-144,9-17",116-144,9-17,26
"116-人民桥,7-9",116-人民桥,7-9,26
"116-156,17-19",116-156,17-19,26
"116-156,9-17",116-156,9-17,26
"116-竹辉路,7-9",116-竹辉路,7-9,26
"116-竹辉路,9-17",116-竹辉路,9-17,26
"116-161,7-9",116-161,7-9,26
"116-162,9-17",116-162,9-17,26
"116-164,0-7",116-164,0-7,106
"116-164,19-24",116-164,19-24,132
"116-164,9-17",116-164,9-17,264
"116-165,0-7",116-165,0-7,26
"116-165,7-9",116-165,7-9,79
"116-165,9-17",116-165,9-17,79
"116-185,0-7",116-185,0-7,26
"116-185,7-9",116-185,7-9,26
"116-葑门桥,9-17",116-葑门桥,9-17,26
"116-葑门桥,19-24",116-葑门桥,19-24,26
"116-葑门桥,9-17",116-葑门桥,9-17,26
"116-2,17-19",116-2,17-19,6
"116-200,7-9",116-200,7-9,26
"116-人民桥,17-19",116-人民桥,17-19,26
"116-人民桥,9-17",116-人民桥,9-17,79
"116-47,7-9",116-47,7-9,6
"116-平门桥,19-24",116-平门桥,19-24,6
"116-59,19-24",116-59,19-24,6
"116-85,9-17",116-85,9-17,6
"117-惠济桥,19-24",117-惠济桥,19-24,6
"117-1009,0-7",117-1009,0-7,26
"117-1009,9-17",117-1009,9-17,53
"117-阊门桥,9-17",117-阊门桥,9-17,6
"117-姑胥桥,7-9",117-姑胥桥,7-9,26
"117-164,0-7",117-164,0-7,26
"117-164,19-24",117-164,19-24,53
"117-164,9-17",117-164,9-17,26
"117-165,0-7",117-165,0-7,26
"117-165,7-9",117-165,7-9,26
"117-18,9-17",117-18,9-17,6
"117-206,7-9",117-206,7-9,26
"117-22,19-24",117-22,19-24,6
"117-23,17-19",117-23,17-19,6
"117-24,17-19",117-24,17-19,6
"117-24,9-17",117-24,9-17,6
"117-25,19-24",117-25,19-24,6
"117-3,0-7",117-3,0-7,6
"117-3,17-19",117-3,17-19,6
"117-3,19-24",117-3,19-24,6
"117-3,9-17",117-3,9-17,12
"117-30,9-17",117-30,9-17,6
"117-干将桥（干将西路）,0-7",117-干将桥（干将西路）,0-7,26
"117-干将桥（干将西路）,17-19",117-干将桥（干将西路）,17-19,26
"117-干将桥（干将西路）,19-24",117-干将桥（干将西路）,19-24,26
"117-干将桥（干将西路）,9-17",117-干将桥（干将西路）,9-17,26
"117-47,9-17",117-47,9-17,6
"117-53,17-19",117-53,17-19,6
"117-71,17-19",117-71,17-19,6
"117-73,19-24",117-73,19-24,26
"117-8,19-24",117-8,19-24,12
"118-1003,7-9",118-1003,7-9,26
"118-1009,0-7",118-1009,0-7,26
"118-1009,9-17",118-1009,9-17,26
"118-相门桥,19-24",118-相门桥,19-24,6
"118-相门桥,7-9",118-相门桥,7-9,6
"118-姑胥桥,19-24",118-姑胥桥,19-24,26
"118-姑胥桥,9-17",118-姑胥桥,9-17,26
"118-132,9-17",118-132,9-17,26
"118-134,9-17",118-134,9-17,26
"118-136,9-17",118-136,9-17,26
"118-156,0-7",118-156,0-7,26
"118-156,9-17",118-156,9-17,26
"118-164,0-7",118-164,0-7,26
"118-164,17-19",118-164,17-19,26
"118-164,19-24",118-164,19-24,53
"118-164,9-17",118-164,9-17,53
"118-165,0-7",118-165,0-7,26
"118-165,7-9",118-165,7-9,26
"118-165,9-17",118-165,9-17,26
"118-199,7-9",118-199,7-9,26
"118-人民桥,19-24",118-人民桥,19-24,26
"118-竹辉路,19-24",118-竹辉路,19-24,26
"118-44,9-17",118-44,9-17,6
"118-62,19-24",118-62,19-24,6
"118-79,19-24",118-79,19-24,6
"118-齐门桥,0-7",118-齐门桥,0-7,6
"118-齐门桥,9-17",118-齐门桥,9-17,6
"119-阊门桥,9-17",119-阊门桥,9-17,6
"119-1005,0-7",119-1005,0-7,26
"119-1009,0-7",119-1009,0-7,26
"119-姑胥桥,9-17",119-姑胥桥,9-17,26
"119-相门桥,9-17",119-相门桥,9-17,26
"119-164,0-7",119-164,0-7,53
"119-164,19-24",119-164,19-24,53
"119-164,7-9",119-164,7-9,53
"119-164,9-17",119-164,9-17,132
"119-165,19-24",119-165,19-24,26
"119-165,9-17",119-165,9-17,26
"119-175,9-17",119-175,9-17,26
"119-176,9-17",119-176,9-17,26
"119-200,9-17",119-200,9-17,26
"119-202,0-7",119-202,0-7,26
"119-人民桥,19-24",119-人民桥,19-24,26
"119-干将桥（干将西路）,9-17",119-干将桥（干将西路）,9-17,53
"119-35,9-17",119-35,9-17,26
"119-41,19-24",119-41,19-24,6
"119-79,9-17",119-79,9-17,6
"12-阊门桥,0-7",12-阊门桥,0-7,6
"12-123,17-19",12-123,17-19,6
"12-新市桥,9-17",12-新市桥,9-17,6
"12-144,7-9",12-144,7-9,6
"12-158,0-7",12-158,0-7,6
"12-159,0-7",12-159,0-7,6
"12-竹辉路,17-19",12-竹辉路,17-19,6
"12-164,9-17",12-164,9-17,6
"12-葑门桥,9-17",12-葑门桥,9-17,6
"12-2,9-17",12-2,9-17,6
"12-200,17-19",12-200,17-19,6
"12-200,9-17",12-200,9-17,6
"12-金门路,0-7",12-金门路,0-7,6
"12-47,9-17",12-47,9-17,6
"12-51,19-24",12-51,19-24,6
"123-阊门桥,9-17",123-阊门桥,9-17,24
"123-1003,7-9",123-1003,7-9,26
"123-1004,19-24",123-1004,19-24,26
"123-1008,19-24",123-1008,19-24,26
"123-1009,0-7",123-1009,0-7,26
"123-1009,9-17",123-1009,9-17,26
"123-景德桥,9-17",123-景德桥,9-17,6
"123-104,0-7",123-104,0-7,6
"123-116,19-24",123-116,19-24,26
"123-123,9-17",123-123,9-17,26
"123-125,7-9",123-125,7-9,26
"123-相门桥,0-7",123-相门桥,0-7,53
"123-136,9-17",123-136,9-17,26
"123-139,9-17",123-139,9-17,26
"123-新市桥,0-7",123-新市桥,0-7,26
"123-143,7-9",123-143,7-9,26
"123-147,7-9",123-147,7-9,26
"123-151,7-9",123-151,7-9,79
"123-156,17-19",123-156,17-19,26
"123-156,7-9",123-156,7-9,26
"123-159,17-19",123-159,17-19,26
"123-159,19-24",123-159,19-24,53
"123-159,7-9",123-159,7-9,79
"123-161,0-7",123-161,0-7,26
"123-161,7-9",123-161,7-9,26
"123-162,17-19",123-162,17-19,132
"123-162,19-24",123-162,19-24,79
"123-162,7-9",123-162,7-9,290
"123-162,9-17",123-162,9-17,106
"123-163,17-19",123-163,17-19,106
"123-163,19-24",123-163,19-24,26
"123-163,7-9",123-163,7-9,211
"123-163,9-17",123-163,9-17,106
"123-164,0-7",123-164,0-7,343
"123-164,17-19",123-164,17-19,1135
"123-164,19-24",123-164,19-24,1214
"123-164,7-9",123-164,7-9,3670
"123-164,9-17",123-164,9-17,1901
"123-165,0-7",123-165,0-7,26
"123-165,7-9",123-165,7-9,26
"123-165,9-17",123-165,9-17,26
"123-176,9-17",123-176,9-17,26
"123-184,9-17",123-184,9-17,26
"123-198,17-19",123-198,17-19,26
"123-198,19-24",123-198,19-24,53
"123-198,7-9",123-198,7-9,26
"123-198,9-17",123-198,9-17,26
"123-2,9-17",123-2,9-17,6
"123-人民桥,17-19",123-人民桥,17-19,53
"123-人民桥,19-24",123-人民桥,19-24,79
"123-人民桥,7-9",123-人民桥,7-9,26
"123-人民桥,19-24",123-人民桥,19-24,26
"123-人民桥,9-17",123-人民桥,9-17,26
"123-204,19-24",123-204,19-24,53
"123-204,7-9",123-204,7-9,26
"123-3,17-19",123-3,17-19,48
"123-3,19-24",123-3,19-24,42
"123-3,7-9",123-3,7-9,24
"123-3,9-17",123-3,9-17,30
"123-70,19-24",123-70,19-24,26
"123-75,19-24",123-75,19-24,26
"124-139,9-17",124-139,9-17,26
"124-154,9-17",124-154,9-17,26
"124-156,7-9",124-156,7-9,26
"124-156,9-17",124-156,9-17,53
"124-竹辉路,0-7",124-竹辉路,0-7,26
"124-164,7-9",124-164,7-9,26
"124-165,7-9",124-165,7-9,26
"124-179,9-17",124-179,9-17,26
"124-33,0-7",124-33,0-7,26
"124-干将桥（干将西路）,0-7",124-干将桥（干将西路）,0-7,26
"124-惠济桥,7-9",124-惠济桥,7-9,6
"125-惠济桥,17-19",125-惠济桥,17-19,6
"125-1013,9-17",125-1013,9-17,6
"125-116,19-24",125-116,19-24,26
"125-相门桥,17-19",125-相门桥,17-19,26
"125-134,9-17",125-134,9-17,26
"125-139,0-7",125-139,0-7,26
"125-156,9-17",125-156,9-17,26
"125-164,9-17",125-164,9-17,53
"125-2,0-7",125-2,0-7,6
"125-3,9-17",125-3,9-17,12
"125-6,0-7",125-6,0-7,6
"125-77,9-17",125-77,9-17,6
"125-85,0-7",125-85,0-7,6
"126-1009,19-24",126-1009,19-24,26
"126-119,0-7",126-119,0-7,26
"126-139,9-17",126-139,9-17,26
"126-164,9-17",126-164,9-17,53
"126-干将桥（干将西路）,9-17",126-干将桥（干将西路）,9-17,26
"126-47,19-24",126-47,19-24,6
"新市桥-1005,0-7",新市桥-1005,0-7,26
"新市桥-116,9-17",新市桥-116,9-17,26
"新市桥-新市桥,19-24",新市桥-新市桥,19-24,26
"新市桥-131,9-17",新市桥-131,9-17,26
"新市桥-132,19-24",新市桥-132,19-24,26
"新市桥-140,0-7",新市桥-140,0-7,26
"新市桥-140,9-17",新市桥-140,9-17,26
"新市桥-新市桥,0-7",新市桥-新市桥,0-7,53
"新市桥-144,7-9",新市桥-144,7-9,26
"新市桥-147,9-17",新市桥-147,9-17,26
"新市桥-景德桥,17-19",新市桥-景德桥,17-19,26
"新市桥-2,9-17",新市桥-2,9-17,6
"新市桥-干将桥（干将西路）,17-19",新市桥-干将桥（干将西路）,17-19,26
"新市桥-47,17-19",新市桥-47,17-19,6
"新市桥-47,9-17",新市桥-47,9-17,12
"新市桥-惠济桥,0-7",新市桥-惠济桥,0-7,6
"新市桥-惠济桥,9-17",新市桥-惠济桥,9-17,6
"新市桥-惠济桥,0-7",新市桥-惠济桥,0-7,12
"新市桥-阊门桥,0-7",新市桥-阊门桥,0-7,6
"新市桥-阊门桥,19-24",新市桥-阊门桥,19-24,12
"新市桥-阊门桥,9-17",新市桥-阊门桥,9-17,12
"新市桥-1005,9-17",新市桥-1005,9-17,53
"新市桥-1007,19-24",新市桥-1007,19-24,26
"新市桥-1007,7-9",新市桥-1007,7-9,26
"新市桥-1008,17-19",新市桥-1008,17-19,53
"新市桥-1009,0-7",新市桥-1009,0-7,26
"新市桥-1009,19-24",新市桥-1009,19-24,26
"新市桥-1013,19-24",新市桥-1013,19-24,12
"新市桥-104,9-17",新市桥-104,9-17,6
"新市桥-109,9-17",新市桥-109,9-17,6
"新市桥-姑胥桥,0-7",新市桥-姑胥桥,0-7,26
"新市桥-姑胥桥,19-24",新市桥-姑胥桥,19-24,26
"新市桥-姑胥桥,9-17",新市桥-姑胥桥,9-17,26
"新市桥-118,17-19",新市桥-118,17-19,26
"新市桥-123,9-17",新市桥-123,9-17,26
"新市桥-新市桥,17-19",新市桥-新市桥,17-19,26
"新市桥-新市桥,0-7",新市桥-新市桥,0-7,26
"新市桥-新市桥,9-17",新市桥-新市桥,9-17,79
"新市桥-相门桥,0-7",新市桥-相门桥,0-7,26
"新市桥-相门桥,17-19",新市桥-相门桥,17-19,26
"新市桥-相门桥,9-17",新市桥-相门桥,9-17,53
"新市桥-131,0-7",新市桥-131,0-7,26
"新市桥-131,9-17",新市桥-131,9-17,26
"新市桥-132,0-7",新市桥-132,0-7,26
"新市桥-132,19-24",新市桥-132,19-24,26
"新市桥-133,9-17",新市桥-133,9-17,26
"新市桥-135,9-17",新市桥-135,9-17,26
"新市桥-136,9-17",新市桥-136,9-17,26
"新市桥-新市桥,0-7",新市桥-新市桥,0-7,106
"新市桥-新市桥,19-24",新市桥-新市桥,19-24,53
"新市桥-新市桥,7-9",新市桥-新市桥,7-9,53
"新市桥-新市桥,9-17",新市桥-新市桥,9-17,79
"新市桥-144,0-7",新市桥-144,0-7,53
"新市桥-144,17-19",新市桥-144,17-19,26
"新市桥-144,7-9",新市桥-144,7-9,79
"新市桥-144,9-17",新市桥-144,9-17,158
"新市桥-146,7-9",新市桥-146,7-9,53
"新市桥-147,0-7",新市桥-147,0-7,26
"新市桥-161,17-19",新市桥-161,17-19,26
"新市桥-164,17-19",新市桥-164,17-19,132
"新市桥-164,19-24",新市桥-164,19-24,53
"新市桥-164,7-9",新市桥-164,7-9,26
"新市桥-164,9-17",新市桥-164,9-17,238
"新市桥-165,0-7",新市桥-165,0-7,26
"新市桥-165,19-24",新市桥-165,19-24,26
"新市桥-165,7-9",新市桥-165,7-9,26
"新市桥-165,9-17",新市桥-165,9-17,53
"新市桥-171,9-17",新市桥-171,9-17,26
"新市桥-172,9-17",新市桥-172,9-17,26
"新市桥-175,19-24",新市桥-175,19-24,26
"新市桥-175,9-17",新市桥-175,9-17,26
"新市桥-176,7-9",新市桥-176,7-9,26
"新市桥-176,9-17",新市桥-176,9-17,26
"新市桥-178,17-19",新市桥-178,17-19,26
"新市桥-178,9-17",新市桥-178,9-17,26
"新市桥-179,19-24",新市桥-179,19-24,53
"新市桥-181,9-17",新市桥-181,9-17,26
"新市桥-182,7-9",新市桥-182,7-9,26
"新市桥-189,19-24",新市桥-189,19-24,26
"新市桥-葑门桥,0-7",新市桥-葑门桥,0-7,26
"新市桥-葑门桥,19-24",新市桥-葑门桥,19-24,79
"新市桥-葑门桥,7-9",新市桥-葑门桥,7-9,26
"新市桥-葑门桥,9-17",新市桥-葑门桥,9-17,79
"新市桥-葑门桥,0-7",新市桥-葑门桥,0-7,26
"新市桥-葑门桥,17-19",新市桥-葑门桥,17-19,26
"新市桥-198,17-19",新市桥-198,17-19,26
"新市桥-198,19-24",新市桥-198,19-24,26
"新市桥-199,17-19",新市桥-199,17-19,26
"新市桥-199,19-24",新市桥-199,19-24,26
"新市桥-199,9-17",新市桥-199,9-17,53
"新市桥-2,0-7",新市桥-2,0-7,12
"新市桥-2,7-9",新市桥-2,7-9,6
"新市桥-200,0-7",新市桥-200,0-7,26
"新市桥-200,19-24",新市桥-200,19-24,26
"新市桥-200,9-17",新市桥-200,9-17,26
"新市桥-人民桥,17-19",新市桥-人民桥,17-19,53
"新市桥-人民桥,19-24",新市桥-人民桥,19-24,79
"新市桥-人民桥,9-17",新市桥-人民桥,9-17,53
"新市桥-人民桥,19-24",新市桥-人民桥,19-24,26
"新市桥-竹辉路,19-24",新市桥-竹辉路,19-24,26
"新市桥-206,9-17",新市桥-206,9-17,26
"新市桥-竹辉路,19-24",新市桥-竹辉路,19-24,26
"新市桥-竹辉路,7-9",新市桥-竹辉路,7-9,26
"新市桥-竹辉路,9-17",新市桥-竹辉路,9-17,26
"新市桥-22,9-17",新市桥-22,9-17,6
"新市桥-3,19-24",新市桥-3,19-24,6
"新市桥-3,9-17",新市桥-3,9-17,12
"新市桥-30,17-19",新市桥-30,17-19,6
"新市桥-干将桥（干将西路）,0-7",新市桥-干将桥（干将西路）,0-7,26
"新市桥-干将桥（干将西路）,19-24",新市桥-干将桥（干将西路）,19-24,26
"新市桥-干将桥（干将西路）,9-17",新市桥-干将桥（干将西路）,9-17,26
"新市桥-40,19-24",新市桥-40,19-24,6
"新市桥-47,0-7",新市桥-47,0-7,6
"新市桥-47,17-19",新市桥-47,17-19,6
"新市桥-47,19-24",新市桥-47,19-24,12
"新市桥-47,9-17",新市桥-47,9-17,30
"新市桥-惠济桥,17-19",新市桥-惠济桥,17-19,6
"新市桥-73,9-17",新市桥-73,9-17,26
"新市桥-85,0-7",新市桥-85,0-7,6
"新市桥-85,19-24",新市桥-85,19-24,6
"新市桥-85,7-9",新市桥-85,7-9,6
"相门桥-惠济桥,19-24",相门桥-惠济桥,19-24,12
"相门桥-阊门桥,0-7",相门桥-阊门桥,0-7,12
"相门桥-阊门桥,17-19",相门桥-阊门桥,17-19,6
"相门桥-1003,0-7",相门桥-1003,0-7,53
"相门桥-1003,19-24",相门桥-1003,19-24,53
"相门桥-1005,0-7",相门桥-1005,0-7,26
"相门桥-1005,7-9",相门桥-1005,7-9,132
"相门桥-1005,9-17",相门桥-1005,9-17,79
"相门桥-1008,9-17",相门桥-1008,9-17,26
"相门桥-1009,9-17",相门桥-1009,9-17,53
"相门桥-1013,7-9",相门桥-1013,7-9,6
"相门桥-1013,9-17",相门桥-1013,9-17,6
"相门桥-104,0-7",相门桥-104,0-7,6
"相门桥-104,9-17",相门桥-104,9-17,12
"相门桥-110,17-19",相门桥-110,17-19,6
"相门桥-相门桥,0-7",相门桥-相门桥,0-7,6
"相门桥-新市桥,9-17",相门桥-新市桥,9-17,26
"相门桥-新市桥,0-7",相门桥-新市桥,0-7,53
"相门桥-新市桥,17-19",相门桥-新市桥,17-19,53
"相门桥-新市桥,19-24",相门桥-新市桥,19-24,26
"相门桥-新市桥,7-9",相门桥-新市桥,7-9,26
"相门桥-新市桥,9-17",相门桥-新市桥,9-17,26
"相门桥-相门桥,0-7",相门桥-相门桥,0-7,26
"相门桥-相门桥,7-9",相门桥-相门桥,7-9,26
"相门桥-相门桥,9-17",相门桥-相门桥,9-17,158
"相门桥-130,7-9",相门桥-130,7-9,26
"相门桥-131,0-7",相门桥-131,0-7,26
"相门桥-131,19-24",相门桥-131,19-24,26
"相门桥-131,9-17",相门桥-131,9-17,53
"相门桥-132,0-7",相门桥-132,0-7,26
"相门桥-132,19-24",相门桥-132,19-24,26
"相门桥-132,9-17",相门桥-132,9-17,53
"相门桥-136,0-7",相门桥-136,0-7,26
"相门桥-139,19-24",相门桥-139,19-24,53
"相门桥-新市桥,0-7",相门桥-新市桥,0-7,79
"相门桥-新市桥,17-19",相门桥-新市桥,17-19,79
"相门桥-新市桥,19-24",相门桥-新市桥,19-24,79
"相门桥-新市桥,7-9",相门桥-新市桥,7-9,26
"相门桥-新市桥,9-17",相门桥-新市桥,9-17,132
"相门桥-144,0-7",相门桥-144,0-7,106
"相门桥-144,17-19",相门桥-144,17-19,26
"相门桥-144,19-24",相门桥-144,19-24,26
"相门桥-144,7-9",相门桥-144,7-9,26
"相门桥-144,9-17",相门桥-144,9-17,106
"相门桥-146,9-17",相门桥-146,9-17,26
"相门桥-147,0-7",相门桥-147,0-7,53
"相门桥-147,9-17",相门桥-147,9-17,26
"相门桥-人民桥,19-24",相门桥-人民桥,19-24,26
"相门桥-157,19-24",相门桥-157,19-24,26
"相门桥-161,0-7",相门桥-161,0-7,26
"相门桥-163,7-9",相门桥-163,7-9,26
"相门桥-164,0-7",相门桥-164,0-7,53
"相门桥-164,19-24",相门桥-164,19-24,106
"相门桥-164,7-9",相门桥-164,7-9,79
"相门桥-164,9-17",相门桥-164,9-17,185
"相门桥-165,0-7",相门桥-165,0-7,53
"相门桥-165,19-24",相门桥-165,19-24,53
"相门桥-165,7-9",相门桥-165,7-9,26
"相门桥-165,9-17",相门桥-165,9-17,53
"相门桥-168,9-17",相门桥-168,9-17,26
"相门桥-169,19-24",相门桥-169,19-24,26
"相门桥-176,9-17",相门桥-176,9-17,26
"相门桥-178,9-17",相门桥-178,9-17,53
"相门桥-18,17-19",相门桥-18,17-19,6
"相门桥-181,9-17",相门桥-181,9-17,79
"相门桥-184,19-24",相门桥-184,19-24,26
"相门桥-185,9-17",相门桥-185,9-17,26
"相门桥-葑门桥,0-7",相门桥-葑门桥,0-7,26
"相门桥-葑门桥,17-19",相门桥-葑门桥,17-19,53
"相门桥-葑门桥,19-24",相门桥-葑门桥,19-24,26
"相门桥-葑门桥,7-9",相门桥-葑门桥,7-9,26
"相门桥-葑门桥,9-17",相门桥-葑门桥,9-17,26
"相门桥-葑门桥,17-19",相门桥-葑门桥,17-19,53
"相门桥-197,17-19",相门桥-197,17-19,26
"相门桥-198,19-24",相门桥-198,19-24,26
"相门桥-199,9-17",相门桥-199,9-17,26
"相门桥-2,19-24",相门桥-2,19-24,18
"相门桥-200,19-24",相门桥-200,19-24,26
"相门桥-200,9-17",相门桥-200,9-17,26
"相门桥-人民桥,0-7",相门桥-人民桥,0-7,26
"相门桥-人民桥,17-19",相门桥-人民桥,17-19,26
"相门桥-人民桥,19-24",相门桥-人民桥,19-24,26
"相门桥-人民桥,9-17",相门桥-人民桥,9-17,53
"相门桥-人民桥,19-24",相门桥-人民桥,19-24,53
"相门桥-人民桥,9-17",相门桥-人民桥,9-17,132
"相门桥-竹辉路,17-19",相门桥-竹辉路,17-19,26
"相门桥-竹辉路,19-24",相门桥-竹辉路,19-24,53
"相门桥-竹辉路,7-9",相门桥-竹辉路,7-9,26
"相门桥-竹辉路,9-17",相门桥-竹辉路,9-17,79
"相门桥-206,0-7",相门桥-206,0-7,53
"相门桥-206,9-17",相门桥-206,9-17,26
"相门桥-南园桥,9-17",相门桥-南园桥,9-17,26
"相门桥-22,19-24",相门桥-22,19-24,6
"相门桥-24,9-17",相门桥-24,9-17,6
"相门桥-3,0-7",相门桥-3,0-7,6
"相门桥-3,9-17",相门桥-3,9-17,6
"相门桥-33,19-24",相门桥-33,19-24,26
"相门桥-干将桥（干将西路）,19-24",相门桥-干将桥（干将西路）,19-24,26
"相门桥-惠济桥,19-24",相门桥-惠济桥,19-24,6
"相门桥-齐门桥,0-7",相门桥-齐门桥,0-7,6
"相门桥-齐门桥,9-17",相门桥-齐门桥,9-17,6
"相门桥-47,0-7",相门桥-47,0-7,12
"相门桥-47,17-19",相门桥-47,17-19,6
"相门桥-47,19-24",相门桥-47,19-24,18
"相门桥-47,7-9",相门桥-47,7-9,6
"相门桥-49,19-24",相门桥-49,19-24,6
"相门桥-61,19-24",相门桥-61,19-24,6
"相门桥-67,7-9",相门桥-67,7-9,6
"相门桥-惠济桥,17-19",相门桥-惠济桥,17-19,6
"相门桥-惠济桥,19-24",相门桥-惠济桥,19-24,6
"相门桥-惠济桥,7-9",相门桥-惠济桥,7-9,6
"相门桥-77,7-9",相门桥-77,7-9,6
"相门桥-85,0-7",相门桥-85,0-7,12
"相门桥-85,19-24",相门桥-85,19-24,12
"相门桥-85,9-17",相门桥-85,9-17,6
"相门桥-90,19-24",相门桥-90,19-24,6
"13-阊门桥,9-17",13-阊门桥,9-17,6
"13-金门路,19-24",13-金门路,19-24,6
"13-金门路,7-9",13-金门路,7-9,6
"130-1005,19-24",130-1005,19-24,53
"130-1005,9-17",130-1005,9-17,26
"130-116,19-24",130-116,19-24,26
"130-131,0-7",130-131,0-7,26
"130-新市桥,17-19",130-新市桥,17-19,26
"130-新市桥,9-17",130-新市桥,9-17,26
"130-143,9-17",130-143,9-17,26
"130-144,0-7",130-144,0-7,26
"130-145,9-17",130-145,9-17,26
"130-158,0-7",130-158,0-7,26
"130-161,17-19",130-161,17-19,26
"130-163,0-7",130-163,0-7,26
"130-164,19-24",130-164,19-24,26
"130-164,9-17",130-164,9-17,79
"130-168,9-17",130-168,9-17,26
"130-南园桥,9-17",130-南园桥,9-17,26
"130-葑门桥,7-9",130-葑门桥,7-9,26
"130-198,9-17",130-198,9-17,26
"130-人民桥,0-7",130-人民桥,0-7,53
"130-竹辉路,19-24",130-竹辉路,19-24,26
"130-206,0-7",130-206,0-7,26
"130-43,19-24",130-43,19-24,6
"130-惠济桥,0-7",130-惠济桥,0-7,6
"130-惠济桥,7-9",130-惠济桥,7-9,6
"131-惠济桥,19-24",131-惠济桥,19-24,6
"131-惠济桥,9-17",131-惠济桥,9-17,6
"131-阊门桥,9-17",131-阊门桥,9-17,6
"131-1005,17-19",131-1005,17-19,26
"131-1005,19-24",131-1005,19-24,26
"131-1005,7-9",131-1005,7-9,53
"131-1007,9-17",131-1007,9-17,26
"131-1008,9-17",131-1008,9-17,53
"131-景德桥,9-17",131-景德桥,9-17,6
"131-102,19-24",131-102,19-24,6
"131-104,19-24",131-104,19-24,6
"131-相门桥,17-19",131-相门桥,17-19,6
"131-相门桥,7-9",131-相门桥,7-9,6
"131-相门桥,9-17",131-相门桥,9-17,12
"131-姑胥桥,19-24",131-姑胥桥,19-24,26
"131-116,0-7",131-116,0-7,26
"131-116,9-17",131-116,9-17,26
"131-119,0-7",131-119,0-7,26
"131-新市桥,0-7",131-新市桥,0-7,53
"131-新市桥,7-9",131-新市桥,7-9,26
"131-新市桥,9-17",131-新市桥,9-17,26
"131-新市桥,9-17",131-新市桥,9-17,26
"131-相门桥,0-7",131-相门桥,0-7,53
"131-相门桥,17-19",131-相门桥,17-19,26
"131-相门桥,19-24",131-相门桥,19-24,53
"131-131,19-24",131-131,19-24,26
"131-131,7-9",131-131,7-9,26
"131-133,17-19",131-133,17-19,26
"131-133,7-9",131-133,7-9,26
"131-139,17-19",131-139,17-19,26
"131-新市桥,0-7",131-新市桥,0-7,53
"131-新市桥,17-19",131-新市桥,17-19,26
"131-新市桥,9-17",131-新市桥,9-17,79
"131-144,19-24",131-144,19-24,79
"131-144,7-9",131-144,7-9,26
"131-144,9-17",131-144,9-17,106
"131-145,19-24",131-145,19-24,26
"131-147,17-19",131-147,17-19,26
"131-147,9-17",131-147,9-17,26
"131-157,9-17",131-157,9-17,26
"131-164,0-7",131-164,0-7,79
"131-164,17-19",131-164,17-19,26
"131-164,19-24",131-164,19-24,53
"131-164,7-9",131-164,7-9,53
